id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea
603,1225,1928.0,73.3529129028,73.375,126.45791626,126.375,17.0,66,5034248704.0
616,253,2731.0,73.03125,73.125,-116.592910767,-116.625,13.0,67,2345161216.0
617,254,1930.0,73.0679168701,73.125,-116.348747253,-116.375,10.0,67,1036181632.0
656,395,0.0,72.9712524414,73.125,-80.6129150391,-81.125,16.0,67,3227319552.0
689,1174,0.0,73.2312469482,73.125,113.538749695,113.625,209.0,67,99303579648.0
696,1233,0.0,73.2454147339,73.125,128.452911377,128.375,10.0,67,1841152128.0
701,222,1932.0,72.9320831299,72.875,-124.461250305,-124.375,16.0,68,3454400256.0
727,319,5797.0,72.8929138184,72.875,-100.015411377,-100.125,10.0,68,1464607232.0
728,324,0.0,72.8829193115,72.875,-98.4120788574,-98.875,10.0,68,2627448064.0
729,326,1932.0,72.8729171753,72.875,-98.3995819092,-98.375,10.0,68,2627448064.0
734,342,0.0,72.7712478638,72.875,-94.2870788574,-94.375,10.0,68,1998538240.0
736,346,0.0,72.8237533569,72.875,-93.3220825195,-93.375,12.0,68,3637786368.0
752,397,0.0,72.9537506104,72.875,-80.6229171753,-80.625,16.0,68,3227319552.0
783,1003,3865.0,72.8795852661,72.875,70.9470825195,70.875,21.0,68,3130467584.0
785,1007,1933.0,72.7979125977,72.875,71.9279174805,71.875,12.0,68,1430061568.0
797,1141,1933.0,72.7629165649,72.875,105.271255493,105.375,592.0,68,3.031375872e+11
799,1143,7969.0,72.8320846558,72.875,105.967918396,105.875,21.0,68,3729124608.0
800,1144,0.0,72.9545822144,72.875,106.162078857,106.125,123.0,68,47648976896.0
801,1198,0.0,72.9987487793,72.875,119.737915039,119.625,437.0,68,2.19394965504e+11
803,1206,1931.0,72.9479141235,72.875,121.345413208,121.625,425.0,68,2.07839854592e+11
812,219,0.0,72.5079193115,72.625,-125.210418701,-125.125,26.0,69,7187730432.0
820,261,2736.0,72.5612487793,72.625,-114.57208252,-114.625,32.0,69,8146704896.0
823,264,0.0,72.6529159546,72.625,-113.999580383,-113.875,16.0,69,3342042368.0
825,266,2735.0,72.7062530518,72.625,-113.387916565,-113.375,10.0,69,1059677632.0
826,267,1934.0,72.6595840454,72.625,-113.447914124,-113.125,10.0,69,1059677632.0
827,273,0.0,72.4087524414,72.625,-111.702911377,-111.625,10.0,69,2361960192.0
844,318,1933.0,72.7295837402,72.625,-100.457084656,-100.375,10.0,69,2256389376.0
857,372,1935.0,72.5629196167,72.625,-86.5020828247,-86.875,10.0,69,2499260672.0
858,373,0.0,72.717086792,72.625,-86.7154159546,-86.625,10.0,69,2499260672.0
865,407,1934.0,72.6645812988,72.625,-78.0529174805,-78.125,10.0,69,1352553600.0
879,1007,1933.0,72.7920837402,72.625,71.9620819092,71.875,12.0,69,1430061568.0
895,1235,0.0,72.5137481689,72.625,128.82875061,128.875,15.0,69,2401838336.0
