grdc_id,river,station,country,lat_org,lon_org,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,lta_discharge,combi_relerr,dist,dist_relerr,lat,lon,upa_local_max,upa_relerr,uparea,cmf_row,cmf_col,cmf_lon,cmf_lat
4213580,ROLLING RIVER,NEAR ERICKSON,CA,50.52,-99.9408,759,610,4213557,0,1915,2015,101,55.13,1915,1995,81,53.28,1.455,0.106988183,1580.736769,0.158073677,50.52,-99.955,842.6690063,0.004817194,757.171875,157,320,-99.875,50.625
4213590,SOURIS RIVER,WAWANESA,CA,49.6014,-99.6819,60300,360,4213573,0,1912,2015,104,10.14,1912,1995,84,13.81,15.947,0.019087162,213.1245108,0.021312451,49.6,-99.68,82198.6875,0.014636583,59858.70703,161,321,-99.625,49.625
4213591,SOURIS RIVER,SOURIS,CA,49.6194,-100.25,58700,-999,4213590,0,1967,2015,49,32.8,,,,,0,0.004273852,11.88514708,0.001188515,49.62,-100.25,58921.19922,0.010444527,58393.45313,161,319,-100.125,49.625
4213592,SOURIS RIVER,NEAR HALBRITE,CA,49.4936,-103.6622,3950,-999,4213593,0,1959,2011,53,33.08,,,,,1.079,0.055840812,247.6534589,0.024765346,49.495,-103.66,3959.842041,0.117991745,3716.966309,162,305,-103.625,49.375
4213593,SOURIS RIVER,NEAR SHERWOOD,CA,48.99,-101.9578,23100,-999,4113403,0,1930,2014,85,1.18,,,,,4.318,0.049263594,244.9028888,0.024490289,48.99,-101.96,22082.5293,0.098810203,21958.74219,165,312,-101.875,48.625
4213594,SOURIS RIVER,NEAR WESTHOPE,CA,48.9964,-100.9581,43700,-999,4213591,0,1929,2014,86,0.5,,,,,9.764,0.034108639,224.8098224,0.022480982,49,-100.96,42723.41797,0.057363953,42446.59766,164,316,-100.875,48.875
4213600,GRASS RIVER,WEKUSKO FALLS,CA,54.7889,-99.9694,3290,270,4213601,0,1924,1991,68,49.09,1957,1991,35,0,11.238,0.025185805,135.2107319,0.013521073,54.795,-99.97,4740.331543,0.048515268,3210.192383,140,320,-99.875,54.875
4213601,GRASS RIVER,ABOVE STANDING STONE FALLS,CA,55.7431,-97,15400,-999,4213720,0,1915,2015,101,45.51,,,,,64.215,0.006245778,25.77626905,0.002577627,55.745,-97,15398.02246,0.013582082,15295.41797,136,332,-96.875,55.875
4213603,WATERHEN RIVER,NEAR WATERHEN,CA,51.8528,-99.5472,55100,-999,4213710,0,1950,2015,66,0.77,1950,1995,46,1.11,90.104,0.02404112,314.3309351,0.031433094,51.855,-99.55,54939.625,0.009257174,54844.96484,153,321,-99.625,51.625
4213605,BADGER CREEK (N. VERIFIED),CARTWRIGHT,CA,49.1044,-99.3228,1520,451,4213191,0,1959,2015,57,19.5,1959,1995,37,10.86,1.307,0.027236495,245.1418521,0.024514185,49.105,-99.325,1832.075317,0.032681115,1495.162354,163,322,-99.375,49.125
4213610,PINE CREEK (TRIB. NELSON),MELBOURNE,CA,49.9,-99.2083,293,358,4213573,0,1965,2015,51,3.49,1965,1995,31,4.32,0.238,0.083834066,990.2051294,0.099020513,49.92,-99.2,320.9533691,0.053461172,300.8320618,160,323,-99.125,49.875
4213620,CYPRESS CREEK (N. VERIFIED),NEAR SARLES,CA,48.93,-98.95,184,470,4213191,0,1961,1989,29,0,1961,1989,29,0,0.157,0.17832506,2456.447993,0.245644799,48.99,-98.93,237.9726563,0.043685582,188.0190735,164,324,-98.875,48.875
4213630,MACKAY CREEK,WALSH,CA,49.9389,-110.0472,436,-999,4213400,0,1911,2014,104,53.54,,,,,0.188,0.082179802,489.2566411,0.048925664,49.95,-110.045,1135.481323,0.148688078,468.4140015,160,280,-109.875,49.875
4213635,MAGNUSSON CREEK,NEAR WYNYARD,CA,51.8144,-104.2031,121,-999,4213567,0,1964,2015,52,40.79,,,,,0.082,0.164288282,261.0237831,0.026102378,51.82,-104.205,371.9700317,0.440660089,94.340065,152,302,-104.375,51.875
