index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn
40,3877,5704.613056,64.625000,-163.375000,21,5780.407715,-163.418000,64.505210,13567,4724,diva_id__4256,-163.429581,64.627083,0.476000,-163.429581,64.627083,2.000000,0.000000
41,4913,0.000000,59.875000,-163.375000,10,1048.762085,-162.714800,59.973960,33611,4740,diva_id__4272,-163.253754,59.838749,0.521000,-163.253754,59.838749,2.000000,0.000000
42,2077,0.000000,69.625000,-163.125000,23,5793.645020,-163.183600,69.557290,9378,4713,diva_id__4245,-163.037918,69.624580,0.226000,-163.037918,69.624580,2.000000,0.000000
43,3577,0.000000,65.875000,-163.125000,10,1060.160156,-162.597700,66.067710,6113,4717,diva_id__4249,-162.723755,66.087914,0.203000,-162.723755,66.087914,2.000000,0.000000
44,1928,0.000000,69.875000,-162.875000,22,5941.374512,-163.183600,69.557290,23962,4713,diva_id__4245,-162.998749,69.762917,0.226000,-162.998749,69.762917,2.000000,0.000000
45,3506,0.000000,66.125000,-162.625000,15,1822.455566,-162.597700,66.067710,6789,4717,diva_id__4249,-162.667923,66.013748,0.203000,-162.667923,66.013748,2.000000,0.000000
46,4248,0.000000,63.125000,-162.625000,10,1009.234863,-162.480500,63.619790,43242,6166,diva_id__5698,-162.652924,63.238750,0.501000,-162.652924,63.238750,2.000000,0.000000
47,4769,0.000000,60.375000,-162.625000,234,120554.382812,-162.363300,60.234380,10452,4741,diva_id__4273,-162.521255,60.286251,0.517000,-162.521255,60.286251,4.191581,0.000000
48,1797,1958.524107,70.125000,-162.375000,24,7477.776367,-163.183600,69.557290,65870,4713,diva_id__4245,-162.343750,70.073753,0.226000,-162.343750,70.073753,2.000000,0.000000
49,3188,0.000000,67.125000,-162.375000,95,32742.798828,-163.300800,67.057290,37847,4715,diva_id__4247,-162.427917,67.062080,0.224000,-162.427917,67.062080,2.585327,0.000000
50,4832,0.000000,60.125000,-162.125000,15,3651.514893,-162.363300,60.234380,7458,4741,diva_id__4273,-162.247910,60.199585,0.517000,-162.247910,60.199585,2.000000,0.000000
51,3258,3984.078039,66.875000,-161.875000,89,29822.574219,-161.191400,66.328130,62311,4716,diva_id__4248,-161.780411,66.837082,0.207000,-161.780411,66.837082,2.494737,0.000000
52,3578,0.000000,65.875000,-161.875000,19,2288.517090,-161.191400,66.328130,48599,4716,diva_id__4248,-161.851257,65.982086,0.207000,-161.851257,65.982086,2.000000,0.000000
53,3882,0.000000,64.625000,-161.875000,10,1068.692383,-161.308600,64.557290,34863,4728,diva_id__4260,-161.891251,64.747086,0.537000,-161.891251,64.747086,2.000000,0.000000
55,4916,2075.679061,59.875000,-161.875000,11,2416.781738,-162.363300,60.234380,58163,4741,diva_id__4273,-161.928757,59.758751,0.517000,-161.928757,59.758751,2.000000,0.000000
56,4982,2076.307946,59.625000,-161.875000,10,1316.844727,-162.363300,60.234380,65029,4741,diva_id__4273,-161.872910,59.703751,0.517000,-161.872910,59.703751,2.000000,0.000000
57,5114,4167.351984,59.125000,-161.625000,10,2622.861328,-161.894500,58.619790,59067,538,diva_id__67,-161.542923,59.118752,0.500000,-161.542923,59.118752,2.000000,0.000000
58,5910,4249.942053,55.875000,-161.375000,10,1602.890137,-161.894500,55.807290,33931,4747,diva_id__4279,-161.387909,55.917915,0.442000,-161.387909,55.917915,2.000000,0.000000
59,3511,0.000000,66.125000,-161.125000,39,7212.567871,-161.191400,66.328130,22143,4716,diva_id__4248,-161.094589,66.132919,0.207000,-161.094589,66.132919,2.000000,0.000000
60,3957,0.000000,64.375000,-161.125000,13,2193.589844,-161.308600,64.557290,21025,4728,diva_id__4260,-161.176254,64.377083,0.537000,-161.176254,64.377083,2.000000,0.000000
61,3815,4501.342642,64.875000,-160.875000,31,4812.994141,-161.308600,64.557290,48178,4728,diva_id__4260,-160.962921,64.964584,0.537000,-160.962921,64.964584,2.000000,0.000000
62,3883,2853.393006,64.625000,-160.875000,12,1860.241943,-161.308600,64.557290,18755,4728,diva_id__4260,-160.916245,64.562080,0.537000,-160.916245,64.562080,2.000000,0.000000
63,4044,2864.622758,63.875000,-160.875000,22,5263.344238,-161.308600,63.463540,52300,4730,diva_id__4262,-160.764587,63.867081,0.513000,-160.764587,63.867081,2.000000,0.000000
64,3766,2848.786915,65.125000,-160.625000,18,2692.723877,-161.308600,64.557290,36812,4728,diva_id__4260,-160.882919,64.833748,0.537000,-160.882919,64.833748,2.000000,0.000000
66,3334,0.000000,66.625000,-160.375000,10,1214.532593,-161.191400,66.328130,52901,4716,diva_id__4248,-160.288757,66.638748,0.207000,-160.288757,66.638748,2.000000,0.000000
67,5115,0.000000,59.125000,-160.375000,20,4599.468262,-160.722700,58.828130,35089,6170,diva_id__5702,-160.342911,59.075417,0.480000,-160.342911,59.075417,2.000000,0.000000
68,3416,0.000000,66.375000,-160.125000,47,11423.491211,-161.191400,66.328130,45981,4716,diva_id__4248,-160.215424,66.462914,0.207000,-160.215424,66.462914,2.000000,0.000000
69,3417,0.000000,66.375000,-159.875000,10,1167.479492,-161.191400,66.328130,45637,4716,diva_id__4248,-160.202911,66.435417,0.207000,-160.202911,66.435417,2.000000,0.000000
70,1584,0.000000,70.625000,-159.625000,10,1010.073486,-158.144500,70.807290,42510,1133,diva_id__662,-159.286255,70.738747,-0.010000,-159.286255,70.738747,2.000000,0.000000
71,1585,0.000000,70.625000,-159.375000,10,1201.230591,-158.144500,70.807290,58547,1133,diva_id__662,-159.460419,70.512085,-0.010000,-159.460419,70.512085,2.000000,0.000000
72,5198,2952.752167,58.875000,-158.875000,10,1477.718262,-158.378900,58.723960,32323,4743,diva_id__4275,-158.925415,58.787918,0.506000,-158.925415,58.787918,2.000000,0.000000
73,5116,0.000000,59.125000,-158.625000,12,3399.295166,-158.378900,58.723960,47636,4743,diva_id__4275,-158.517090,59.146248,0.506000,-158.517090,59.146248,2.000000,0.000000
74,5199,0.000000,58.875000,-158.625000,10,1174.223389,-158.378900,58.723960,29688,4743,diva_id__4275,-158.744583,58.912083,0.506000,-158.744583,58.912083,2.000000,0.000000
75,5811,2120.392585,56.375000,-158.625000,10,1663.611450,-158.730500,55.859380,46597,6193,diva_id__5725,-158.656250,56.276249,0.422000,-158.656250,56.276249,2.000000,0.000000
76,5201,0.000000,58.875000,-158.125000,74,30163.863281,-158.378900,58.723960,29201,4743,diva_id__4275,-158.018753,58.908752,0.506000,-158.018753,58.908752,2.268222,0.000000
78,5578,0.000000,57.375000,-157.625000,10,1737.568237,-157.675800,57.578130,10049,4744,diva_id__4276,-157.651245,57.488750,0.497000,-157.651245,57.488750,2.000000,0.000000
79,5579,0.000000,57.375000,-157.375000,10,2992.308838,-157.675800,57.578130,18491,4744,diva_id__4276,-157.406250,57.496250,0.497000,-157.406250,57.496250,2.000000,0.000000
80,5580,0.000000,57.375000,-157.125000,10,1091.473022,-157.675800,57.578130,14757,4744,diva_id__4276,-157.512085,57.478752,0.497000,-157.512085,57.478752,2.000000,0.000000
81,1480,1950.474342,70.875000,-156.875000,10,1624.808716,-158.144500,70.807290,73409,1133,diva_id__662,-156.157089,70.912086,-0.010000,-156.157089,70.912086,2.000000,0.000000
82,1481,9949.552308,70.875000,-156.125000,24,11122.224609,-158.144500,70.807290,74383,1133,diva_id__662,-156.110413,70.832916,-0.010000,-156.110413,70.832916,2.000000,0.000000
84,4655,0.000000,60.875000,-151.625000,27,4648.784180,-151.230500,60.755210,32394,4765,diva_id__4297,-151.732910,60.912918,0.402000,-151.732910,60.912918,2.000000,0.000000
85,1697,2765.860255,70.375000,-151.375000,10,4397.912598,-151.816400,70.703130,42644,4720,diva_id__4252,-151.281250,70.363747,0.082000,-151.281250,70.363747,2.000000,0.000000
86,4773,0.000000,60.375000,-151.375000,14,2243.270264,-151.230500,60.755210,42060,4765,diva_id__4297,-151.302917,60.378750,0.402000,-151.302917,60.378750,2.000000,0.000000
87,4656,0.000000,60.875000,-151.125000,54,5950.314453,-151.230500,60.755210,10660,4765,diva_id__4297,-151.045410,60.787083,0.402000,-151.045410,60.787083,2.000000,0.000000
89,4596,0.000000,61.125000,-150.875000,18,2444.493408,-150.644500,61.223960,16782,4760,diva_id__4292,-150.956253,61.208748,0.400000,-150.956253,61.208748,2.000000,0.000000
90,4923,4640.422531,59.875000,-150.875000,13,1069.444214,-151.230500,59.609380,26002,4767,diva_id__4299,-150.952087,59.796249,0.421000,-150.952087,59.796249,2.000000,0.000000
91,4553,0.000000,61.375000,-150.625000,164,51629.683594,-150.644500,61.223960,9478,4760,diva_id__4292,-150.573746,61.302082,0.400000,-150.573746,61.302082,3.468307,0.000000
92,1700,1955.273537,70.375000,-150.375000,143,59370.855469,-151.816400,70.703130,60516,4720,diva_id__4252,-150.433746,70.412918,0.082000,-150.433746,70.412918,3.219640,0.000000
93,4554,0.000000,61.375000,-150.125000,10,1074.589233,-150.058600,61.223960,13775,4761,diva_id__4293,-150.307083,61.256248,0.405000,-150.307083,61.256248,2.000000,0.000000
94,4557,0.000000,61.375000,-149.375000,69,8698.238281,-149.414100,60.885420,68481,4764,diva_id__4296,-149.284576,61.497917,0.405000,-149.284576,61.497917,2.186661,0.000000
95,1704,5866.790311,70.375000,-148.875000,23,9026.812500,-148.535200,70.442710,17353,338,prudhoe_bay,-148.962921,70.381248,0.091000,-148.962921,70.381248,2.000000,0.000000
97,1801,2767.695629,70.125000,-147.875000,32,13283.324219,-148.300800,70.442710,29286,4722,diva_id__4254,-147.831253,70.232086,0.089000,-147.831253,70.232086,2.000000,0.000000
98,1802,1957.381809,70.125000,-147.625000,10,1528.853271,-148.300800,70.442710,36508,4722,diva_id__4254,-147.648743,70.198753,0.089000,-147.648743,70.198753,2.000000,0.000000
99,1803,1957.544693,70.125000,-147.375000,10,4167.618164,-148.300800,70.442710,47049,4722,diva_id__4254,-147.323746,70.177086,0.089000,-147.323746,70.177086,2.000000,0.000000
100,1808,1957.870762,70.125000,-146.125000,10,5309.511719,-144.902300,69.973960,46444,1135,diva_id__664,-146.015411,70.147919,0.109000,-146.015411,70.147919,2.000000,0.000000
101,1809,1958.687697,70.125000,-145.625000,10,1383.265869,-144.902300,69.973960,27355,1135,diva_id__664,-145.582916,70.053749,0.109000,-145.582916,70.053749,2.000000,0.000000
102,4779,0.000000,60.375000,-144.875000,168,64767.253906,-144.785200,60.442710,8183,4772,diva_id__4304,-144.911255,60.482082,0.469000,-144.911255,60.482082,3.511837,0.000000
103,1811,1959.015166,70.125000,-144.375000,10,1858.768311,-144.902300,69.973960,19759,1135,diva_id__664,-144.403748,70.023750,0.109000,-144.403748,70.023750,2.000000,0.000000
106,1812,0.000000,70.125000,-144.125000,10,3184.898682,-144.902300,69.973960,33675,1135,diva_id__664,-144.031250,70.027916,0.109000,-144.031250,70.027916,2.000000,0.000000
