rivmth_id,lat,lon,rivwth,uparea,dist2coast,q_mean,couple_id,gtsm_egm_offset,surge_std,tidal_range
19,77.07958221,104.2729187,14,2256635392.0,1899,28.713299,2979,-0.142,0.15248413179732662,0.32644746
25,76.82791901,66.41708374,10,1362019712.0,2688,13.065272,2660,-0.285,0.15503443695997482,0.36162266
42,76.50291443,100.9754181,44,12150083584.0,0,166.11923,2925,-0.205,0.1738356246717181,0.49463272
44,76.57291412,106.5287476,10,1030486592.0,0,13.054023,3015,-0.124,0.14713865374035812,0.3776468
47,76.50791931,107.2504196,10,1951948928.0,1903,29.42911,3028,-0.11699999999999999,0.14733158925963694,0.41984314
49,76.72291565,108.9379196,10,1273565440.0,0,19.33145,3047,-0.11199999999999999,0.1474037372894511,0.41657904
50,76.71875,109.92875670000001,10,1350704896.0,0,19.926554,3074,-0.11199999999999999,0.1474037372894511,0.41657904
52,76.73874664,110.8987503,10,1649452544.0,0,1.3582642,3090,-0.10300000000000001,0.149360518727749,0.61908764
53,76.71624756,111.26374820000001,10,1803851136.0,0,27.074697,3103,-0.10300000000000001,0.149360518727749,0.61908764
74,76.17208099,99.71958923,294,127000000000.0,0,6.1325307,2914,-0.154,0.16495207872684112,0.5403913
76,76.53458405,106.5079193,10,1030486592.0,0,2.7463422,2995,-0.124,0.14713865374035812,0.3776468
112,76.09208679,99.65708923,294,127000000000.0,0,1627.1144,2902,-0.154,0.16495207872684112,0.5403913
116,76.04792023,112.61458590000002,10,2187637248.0,0,33.4549,3116,0.153,0.1483343978972558,0.74832326
136,75.81791687,93.36958313,12,2164491520.0,1908,26.476704,2861,-0.031,0.17252911434065443,0.3683493
141,75.83875275,95.76208496,10,1546705664.0,1908,23.148607,2870,-0.035,0.17153178865491872,0.42119932
166,75.62291718,91.71208191,10,1138456320.0,7875,13.410065,2854,-0.031,0.17252911434065443,0.3683493
170,75.79541779,112.46791840000002,10,1584791296.0,1908,5.354355,3110,0.153,0.1483343978972558,0.74832326
201,75.13791656,88.19792175,10,1247081600.0,1913,16.082792,2848,-0.002,0.18133415143432205,0.118489414
203,75.05874634,113.05125430000001,10,1075365248.0,0,15.742522,3125,0.153,0.14889446783243407,1.1112239
218,74.88708496,112.12458799999999,10,1197112576.0,1915,17.991713,3113,0.153,0.14889446783243407,1.1112239
240,74.60624695,111.14707949999999,10,1317926400.0,0,16.541529,3099,-0.10300000000000001,0.14934340246730213,1.299209
245,74.18708038,-124.43791200000001,10,2308357888.0,4296,0.80190176,158,0.028999999999999998,0.11759046879033362,0.19162658
271,74.32875061,109.5720825,10,1136785664.0,1920,15.307922,3072,-0.10300000000000001,0.14934340246730213,1.299209
273,74.49541473,110.21292109999999,12,3681050112.0,7912,52.745476,3080,-0.10300000000000001,0.14934340246730213,1.299209
277,74.01125336,-124.30374909999999,10,2308357888.0,3845,7.1314473,150,0.026000000000000002,0.12052032059757901,0.29138634
279,74.1570816,-124.4212494,10,2308357888.0,2717,0.94467837,169,0.028999999999999998,0.11759046879033362,0.19162658
295,74.07875061,-93.80207825,10,2353715712.0,0,15.860337,427,-0.07400000000000001,0.11454395994176983,1.0959188
318,74.07458496,87.43208313,10,1188931584.0,5437,15.660232,2845,-0.005,0.22719423007471784,0.427038
359,73.80708313,-87.02207947,11,2220963328.0,0,14.146744,542,-0.187,0.11344366020077815,1.6242709
380,73.85624695,87.14375305,560,178000000000.0,0,2604.7117,2842,-0.005,0.22719423007471784,0.427038
