index,basin_idx,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn,elvp10,elvp90,elvavg,area_km,cell_count,mean_drain_length,mean_drain_slope
23,2761,2760,0.000000,68.375000,-166.375000,28,5847.637695,-166.464800,68.411460,1247,4710,diva_id__4242,-166.434586,68.412918,0.110000,-166.434586,68.412918,2.000000,0.000000,25.974134,214.197998,129.948484,5853.096427,21,111260.926758,0.001648
24,3766,3765,2010.024178,65.125000,-166.125000,51,10829.194336,-166.933600,65.182290,42473,4723,diva_id__4255,-166.029587,65.227921,0.335000,-166.029587,65.227921,2.000000,0.000000,5.387391,198.628998,91.782074,10838.623347,35,108977.424805,0.001519
25,3499,3498,1999.548700,66.125000,-165.375000,11,1896.868896,-166.230500,66.223960,34198,6163,diva_id__5695,-165.489578,66.152916,0.262000,-165.489578,66.152916,2.000000,0.000000,3.445500,66.574641,31.839848,1898.777372,7,48922.550781,0.000850
26,4552,4551,0.000000,61.375000,-165.375000,21,5357.073730,-164.824200,60.963540,40674,4735,diva_id__4267,-165.263748,61.261250,0.462000,-165.263748,61.261250,2.000000,0.000000,1.982881,3.389058,2.847676,5353.701505,14,129147.231120,0.000077
27,4281,4280,0.000000,62.875000,-164.875000,886,840591.750000,-164.707000,62.994790,22666,1137,diva_id__666,-164.767914,62.792915,0.477000,-164.767914,62.792915,8.515793,0.000000,69.577496,931.391699,491.291212,840762.407002,2524,1896082.963384,0.000282
28,4592,4591,0.000000,61.125000,-164.875000,10,1051.495483,-164.824200,60.963540,17295,4735,diva_id__4267,-164.763748,61.116249,0.462000,-164.763748,61.116249,2.000000,0.000000,0.595011,4.515382,2.750622,1050.872476,4,45564.988281,0.000130
29,2494,2493,0.000000,68.875000,-164.625000,10,1429.899292,-164.941400,68.932290,12816,4711,diva_id__4243,-164.622910,68.919586,0.150000,-164.622910,68.919586,2.000000,0.000000,30.061874,204.697998,108.159958,1431.113748,6,56430.190104,0.002873
30,2949,2948,1981.658942,67.875000,-164.625000,10,1729.961304,-164.003900,67.526040,40547,4714,diva_id__4246,-164.632919,67.801247,0.204000,-164.632919,67.801247,2.000000,0.000000,25.800000,167.638200,88.844520,1731.480124,7,51806.319531,0.002183
32,3042,3041,0.000000,67.625000,-164.375000,13,2402.115234,-164.003900,67.526040,30982,4714,diva_id__4246,-164.498749,67.731247,0.204000,-164.498749,67.731247,2.000000,0.000000,12.071250,295.066000,139.845353,2404.343552,10,117693.810547,0.002026
35,4830,4829,2070.455329,60.125000,-164.375000,10,2524.077148,-164.238300,59.973960,25646,4739,diva_id__4271,-164.482910,60.169582,0.493000,-164.482910,60.169582,2.000000,0.000000,1.845401,4.859466,3.482082,2522.533780,7,97814.585938,0.000049
37,3502,3501,4001.318428,66.125000,-163.875000,12,1344.785889,-164.355500,66.588540,64014,4718,diva_id__4250,-163.767090,66.063751,0.221000,-163.767090,66.063751,2.000000,0.000000,3.297000,157.696997,71.416286,1346.240635,7,59394.731445,0.001759
38,4653,4652,0.000000,60.875000,-163.875000,14,2803.683105,-164.824200,60.963540,49743,4735,diva_id__4267,-163.926254,60.866249,0.462000,-163.926254,60.866249,2.000000,0.000000,1.651235,30.449324,10.502636,2801.935974,10,121558.425781,0.000156
39,4245,4244,0.000000,63.125000,-163.625000,10,1400.135498,-164.707000,62.994790,56493,1137,diva_id__666,-163.603745,63.082916,0.477000,-163.603745,63.082916,2.000000,0.000000,0.288846,1.740972,1.086463,1399.181792,3,53332.789062,0.000034
40,3878,3877,5704.613056,64.625000,-163.375000,21,5780.407715,-163.418000,64.505210,13567,4724,diva_id__4256,-163.429581,64.627083,0.476000,-163.429581,64.627083,2.000000,0.000000,23.739429,195.754001,87.684210,5785.502232,19,98685.375710,0.001302
41,4914,4913,0.000000,59.875000,-163.375000,10,1048.762085,-162.714800,59.973960,33611,4740,diva_id__4272,-163.253754,59.838749,0.521000,-163.253754,59.838749,2.000000,0.000000,1.491716,7.075752,4.480607,1048.086882,4,46502.658203,0.000138
42,2078,2077,0.000000,69.625000,-163.125000,23,5793.645020,-163.183600,69.557290,9378,4713,diva_id__4245,-163.037918,69.624580,0.226000,-163.037918,69.624580,2.000000,0.000000,26.392625,382.231000,207.351115,5798.594614,25,124649.727604,0.001901
43,3578,3577,0.000000,65.875000,-163.125000,10,1060.160156,-162.597700,66.067710,6113,4717,diva_id__4249,-162.723755,66.087914,0.203000,-162.723755,66.087914,2.000000,0.000000,3.020000,281.439343,155.144280,1061.196776,5,86098.734375,0.003622
44,1929,1928,0.000000,69.875000,-162.875000,22,5941.374512,-163.183600,69.557290,23962,4713,diva_id__4245,-162.998749,69.762917,0.226000,-162.998749,69.762917,2.000000,0.000000,26.044896,374.325168,182.957405,5946.540711,22,156746.199219,0.001548
