index,basin_idx,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn,elvp10,elvp90,elvavg,area_km,cell_count,mean_drain_length,mean_drain_slope
0,3693,3692,0.000000,65.375000,-179.375000,38,5650.385742,-179.707000,65.911460,56726,4697,diva_id__4229,-179.446259,65.412918,0.204000,-179.446259,65.412918,2.000000,0.000000,1.966504,84.656402,43.011327,5655.432240,20,108217.593040,0.000539
1,2488,2487,0.000000,68.875000,-178.875000,34,5681.438477,-179.824200,68.906250,38713,4694,diva_id__4226,-178.934570,68.772079,-0.108000,-178.934570,68.772079,2.000000,0.000000,92.000000,560.268280,355.559477,5686.737533,20,139147.753551,0.003228
2,2639,2638,0.000000,68.625000,-178.625000,10,1644.016602,-177.714800,68.359380,43311,4695,diva_id__4227,-178.532074,68.607918,-0.103000,-178.532074,68.607918,2.000000,0.000000,1.191440,149.400000,62.024819,1645.607676,7,48459.153646,0.002002
3,3489,3488,2829.097360,66.125000,-178.625000,22,2466.344238,-178.418000,65.442710,71647,4698,diva_id__4230,-178.652924,66.079582,0.245000,-178.652924,66.079582,2.000000,0.000000,16.024681,222.110988,108.157855,2468.603368,10,65117.978516,0.002201
4,3695,3694,2007.382364,65.375000,-178.125000,10,1197.374512,-178.418000,65.442710,9597,4698,diva_id__4230,-178.212921,65.456253,0.245000,-178.212921,65.456253,2.000000,0.000000,8.308000,125.239639,55.031413,1198.556592,5,59858.000000,0.001508
5,2760,2759,0.000000,68.375000,-177.875000,147,33129.375000,-177.714800,68.359380,3439,4695,diva_id__4227,-177.791245,68.372086,-0.103000,-177.791245,68.372086,3.268691,0.000000,45.786850,516.295007,285.155898,33157.916953,117,242692.666285,0.001417
6,3635,3634,0.000000,65.625000,-176.875000,15,1521.382690,-178.418000,65.442710,69328,4698,diva_id__4230,-176.966248,65.606247,0.245000,-176.966248,65.606247,2.000000,0.000000,1.953547,124.737125,70.132016,1522.878384,6,78903.531250,0.001465
7,3760,3759,0.000000,65.125000,-175.875000,26,2089.413574,-175.019500,64.765630,61139,4700,diva_id__4232,-175.807083,65.202919,0.299000,-175.807083,65.202919,2.000000,0.000000,72.894112,164.773248,113.367501,2091.130592,8,93599.453125,0.001425
10,3402,3401,0.000000,66.375000,-175.125000,11,1143.231567,-174.668000,66.744790,18346,4699,diva_id__4231,-174.802917,66.588753,0.086000,-174.802917,66.588753,2.000000,0.000000,8.755000,78.794996,43.774998,1144.309856,2,21184.191406,0.004133
11,3180,3179,0.000000,67.125000,-174.875000,22,2703.240479,-174.668000,66.744790,38020,4699,diva_id__4231,-174.897079,67.074585,0.086000,-174.897079,67.074585,2.000000,0.000000,32.594002,228.855011,139.455987,2705.772364,11,113458.115625,0.001730
12,3322,3321,0.000000,66.625000,-174.875000,11,1146.204346,-174.668000,66.744790,13189,4699,diva_id__4231,-174.921249,66.681252,0.086000,-174.921249,66.681252,2.000000,0.000000,1.113143,103.823055,44.651035,1147.337024,3,62162.820312,0.002065
13,3403,3402,0.000000,66.375000,-174.375000,12,1425.069214,-174.316400,66.588540,28944,4701,diva_id__4233,-174.353745,66.328751,0.092000,-174.353745,66.328751,2.000000,0.000000,12.396000,86.675200,49.291476,1426.338086,7,54149.884766,0.001104
14,3865,3864,6049.504800,64.625000,-174.125000,26,2796.346191,-175.019500,64.765630,38549,4700,diva_id__4232,-174.247070,64.659584,0.299000,-174.247070,64.659584,2.000000,0.000000,44.616500,212.286140,157.817667,2798.839592,12,67604.045759,0.003222
15,3405,3404,0.000000,66.375000,-173.875000,60,7569.653320,-174.316400,66.588540,36947,4701,diva_id__4233,-173.962921,66.287918,0.092000,-173.962921,66.287918,2.034714,0.000000,17.838739,136.351447,80.434603,7576.727676,24,98833.906510,0.001081
16,3406,3405,0.000000,66.375000,-173.625000,10,1125.592163,-174.316400,66.588540,36582,4701,diva_id__4233,-173.712921,66.364586,0.092000,-173.712921,66.364586,2.000000,0.000000,13.048501,56.243502,38.103573,1126.649040,4,31203.587891,0.001707
17,3184,3183,0.000000,67.125000,-173.375000,17,2686.254883,-172.558600,67.005210,30684,4705,diva_id__4237,-173.250412,67.062080,-0.056000,-173.250412,67.062080,2.000000,0.000000,1.127458,66.349450,25.861081,2688.932814,8,72217.615234,0.000597
19,3764,3763,0.000000,65.125000,-172.125000,14,1130.521973,-172.207000,64.843750,33841,4708,diva_id__4240,-172.151245,65.147079,0.177000,-172.151245,65.147079,2.000000,0.000000,0.644046,93.820380,37.901083,1131.560128,5,68693.960938,0.001897
20,3325,3324,0.000000,66.625000,-171.125000,24,4045.150146,-171.152300,66.588540,4357,4706,diva_id__4238,-171.071259,66.566254,0.051000,-171.071259,66.566254,2.000000,0.000000,35.576200,182.132001,109.302072,4049.201044,15,85578.859375,0.001655
21,3407,3406,0.000000,66.375000,-170.375000,10,1396.266602,-171.152300,66.588540,46067,4706,diva_id__4238,-170.362091,66.320419,0.051000,-170.362091,66.320419,2.000000,0.000000,0.795321,96.792041,34.977841,1397.511200,5,63556.330078,0.000737
22,3491,3490,0.000000,66.125000,-170.125000,10,1086.898560,-171.035200,65.651040,73358,1131,diva_id__660,-170.060425,66.177086,0.113000,-170.060425,66.177086,2.000000,0.000000,9.511143,117.120816,57.982804,1087.920244,5,46389.443359,0.002047
