couple_id,rivmth_idx,cmf_col_15min,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,cmf_row_15min,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
27,4280,60,0.0,62.875,-164.875,885.0,108,840591736832.0,-164.707,62.99479,22665.7077467968,1137,diva_id__666,-164.76791381799998,62.792915344200004,0.477,-164.76791381799998,62.792915344200004
28,4591,60,0.0,61.125,-164.875,10.0,115,1051495488.0,-164.8242,60.96354,17295.01911836861,4735,diva_id__4267,-164.763748169,61.1162490845,0.462,-164.763748169,61.1162490845
29,2493,61,0.0,68.875,-164.625,10.0,84,1429899264.0,-164.9414,68.93229000000001,12816.274025882054,4711,diva_id__4243,-164.62290954600002,68.9195861816,0.15,-164.62290954600002,68.9195861816
30,2948,61,1981.0,67.875,-164.625,10.0,88,1729961344.0,-164.0039,67.52604000000001,40546.77474498703,4714,diva_id__4246,-164.632919312,67.8012466431,0.204,-164.632919312,67.8012466431
31,3499,61,0.0,66.125,-164.625,10.0,95,1128614144.0,-164.3555,66.58854000000001,44420.63096734822,4718,diva_id__4250,-164.192077637,66.1945800781,0.221,-164.192077637,66.1945800781
32,3041,62,0.0,67.625,-164.375,12.0,89,2402115328.0,-164.0039,67.52604000000001,30981.50320892106,4714,diva_id__4246,-164.498748779,67.7312469482,0.204,-164.498748779,67.7312469482
33,3500,62,1999.0,66.125,-164.375,11.0,95,1344785920.0,-164.3555,66.58854000000001,48922.15469501473,4718,diva_id__4250,-163.962081909,66.1779174805,0.221,-163.962081909,66.1779174805
34,4592,62,0.0,61.125,-164.375,10.0,115,1051495488.0,-164.8242,60.96354,13932.152488873988,4735,diva_id__4267,-164.831253052,61.08874893189999,0.462,-164.831253052,61.08874893189999
35,4829,62,2070.0,60.125,-164.375,10.0,119,2524077056.0,-164.2383,59.97396,25646.043847854315,4739,diva_id__4271,-164.482910156,60.169582366899995,0.493,-164.482910156,60.169582366899995
36,2949,64,0.0,67.875,-163.875,12.0,88,2402115328.0,-164.0039,67.52604000000001,21627.119760857277,4714,diva_id__4246,-164.32791137700002,67.6762466431,0.204,-164.32791137700002,67.6762466431
37,3501,64,4001.0,66.125,-163.875,11.0,95,1344785920.0,-164.3555,66.58854000000001,64014.40452829288,4718,diva_id__4250,-163.767089844,66.0637512207,0.221,-163.767089844,66.0637512207
38,4652,64,0.0,60.875,-163.875,14.0,116,2803683072.0,-164.8242,60.96354,49742.65492285819,4735,diva_id__4267,-163.926254272,60.8662490845,0.462,-163.926254272,60.8662490845
39,4244,65,0.0,63.125,-163.625,10.0,107,1400135552.0,-164.707,62.99479,56493.40348191655,1137,diva_id__666,-163.60374450700002,63.082916259799994,0.477,-163.60374450700002,63.082916259799994
40,3877,66,5704.0,64.625,-163.375,20.0,101,5780407808.0,-163.418,64.50520999999999,13567.177193886453,4724,diva_id__4256,-163.429580688,64.6270828247,0.476,-163.429580688,64.6270828247
41,4913,66,0.0,59.875,-163.375,10.0,120,1048762112.0,-162.7148,59.97396,33611.03314280457,4740,diva_id__4272,-163.253753662,59.83874893189999,0.521,-163.253753662,59.83874893189999
42,2077,67,0.0,69.625,-163.125,23.0,81,5793645056.0,-163.1836,69.55729000000001,9378.235516872928,4713,diva_id__4245,-163.037918091,69.6245803833,0.226,-163.037918091,69.6245803833
43,3577,67,0.0,65.875,-163.125,15.0,96,1822455552.0,-162.5977,66.06770999999999,6113.486836527761,4717,diva_id__4249,-162.723754883,66.0879135132,0.203,-162.723754883,66.0879135132
44,1928,68,0.0,69.875,-162.875,21.0,80,5941374464.0,-163.1836,69.55729000000001,23962.35613682052,4713,diva_id__4245,-162.998748779,69.7629165649,0.226,-162.998748779,69.7629165649
45,3506,69,0.0,66.125,-162.625,15.0,95,1822455552.0,-162.5977,66.06770999999999,6788.73616188026,4717,diva_id__4249,-162.667922974,66.01374816890001,0.203,-162.667922974,66.01374816890001
46,4248,69,0.0,63.125,-162.625,10.0,107,1009234880.0,-162.4805,63.61979,43242.40271822254,6166,diva_id__5698,-162.652923584,63.238750457799995,0.501,-162.652923584,63.238750457799995
47,4769,69,0.0,60.375,-162.625,234.0,118,120554381312.0,-162.3633,60.23438,10452.156862705153,4741,diva_id__4273,-162.52125549299998,60.28625106810001,0.517,-162.52125549299998,60.28625106810001
48,1797,70,1958.0,70.125,-162.375,24.0,79,7477776384.0,-163.1836,69.55729000000001,65869.78894149202,4713,diva_id__4245,-162.34375,70.0737533569,0.226,-162.34375,70.0737533569
49,3188,70,0.0,67.125,-162.375,94.0,91,32742799360.0,-163.3008,67.05729000000001,37846.63118644837,4715,diva_id__4247,-162.42791748,67.0620803833,0.224,-162.42791748,67.0620803833
50,4832,71,0.0,60.125,-162.125,15.0,119,3651514880.0,-162.3633,60.23438,7458.090194102033,4741,diva_id__4273,-162.24790954600002,60.199584960900005,0.517,-162.24790954600002,60.199584960900005
51,3258,72,3984.0,66.875,-161.875,88.0,92,29822574592.0,-161.1914,66.32813,62310.84266838826,4716,diva_id__4248,-161.780410767,66.8370819092,0.207,-161.780410767,66.8370819092
52,3578,72,0.0,65.875,-161.875,18.0,96,2288517120.0,-161.1914,66.32813,48598.71945469333,4716,diva_id__4248,-161.851257324,65.9820861816,0.207,-161.851257324,65.9820861816
53,3882,72,0.0,64.625,-161.875,10.0,101,1068692352.0,-161.3086,64.55729000000001,34863.29116778081,4728,diva_id__4260,-161.89125061,64.7470855713,0.537,-161.89125061,64.7470855713
54,4833,72,2070.0,60.125,-161.875,15.0,119,3651514880.0,-162.3633,60.23438,14140.65467560537,4741,diva_id__4273,-162.19291687,60.1395835876,0.517,-162.19291687,60.1395835876
55,4916,72,2075.0,59.875,-161.875,10.0,120,2416781824.0,-162.3633,60.23438,58163.4098273285,4741,diva_id__4273,-161.928756714,59.7587509155,0.517,-161.928756714,59.7587509155
56,4982,72,2076.0,59.625,-161.875,10.0,121,1316844672.0,-162.3633,60.23438,65028.67028698774,4741,diva_id__4273,-161.87290954600002,59.7037506104,0.517,-161.87290954600002,59.7037506104
57,5114,73,4167.0,59.125,-161.625,10.0,123,2622861312.0,-161.8945,58.61979,59066.94540274661,538,diva_id__67,-161.542922974,59.1187515259,0.5,-161.542922974,59.1187515259
58,5910,74,4249.0,55.875,-161.375,10.0,136,1602890112.0,-161.8945,55.80729,33930.99527905974,4747,diva_id__4279,-161.387908936,55.917915344200004,0.442,-161.387908936,55.917915344200004
59,3511,75,0.0,66.125,-161.125,39.0,95,7212568064.0,-161.1914,66.32813,22142.77709897344,4716,diva_id__4248,-161.094589233,66.13291931149999,0.207,-161.094589233,66.13291931149999
60,3957,75,0.0,64.375,-161.125,12.0,102,2193589760.0,-161.3086,64.55729000000001,21024.699873864603,4728,diva_id__4260,-161.176254272,64.3770828247,0.537,-161.176254272,64.3770828247
61,3815,76,4501.0,64.875,-160.875,31.0,100,4812994048.0,-161.3086,64.55729000000001,48178.4316489231,4728,diva_id__4260,-160.962921143,64.9645843506,0.537,-160.962921143,64.9645843506
62,3883,76,2853.0,64.625,-160.875,11.0,101,1860241920.0,-161.3086,64.55729000000001,18754.706076060927,4728,diva_id__4260,-160.91624450700002,64.5620803833,0.537,-160.91624450700002,64.5620803833
63,4044,76,2864.0,63.875,-160.875,21.0,104,5263344128.0,-161.3086,63.46354,52299.60766217665,4730,diva_id__4262,-160.76458740200002,63.8670806885,0.513,-160.76458740200002,63.8670806885
64,3766,77,2848.0,65.125,-160.625,31.0,99,4812994048.0,-161.3086,64.55729000000001,36812.37098650401,4728,diva_id__4260,-160.882919312,64.8337478638,0.537,-160.882919312,64.8337478638
65,4045,77,0.0,63.875,-160.625,21.0,104,5263344128.0,-161.3086,63.46354,45370.22448109961,4730,diva_id__4262,-160.772079468,63.794582366899995,0.513,-160.772079468,63.794582366899995
66,3334,78,0.0,66.625,-160.375,10.0,93,1214532608.0,-161.1914,66.32813,52901.03421854455,4716,diva_id__4248,-160.288757324,66.63874816890001,0.207,-160.288757324,66.63874816890001
67,5115,78,0.0,59.125,-160.375,20.0,123,4599468032.0,-160.7227,58.82813,35089.25032433799,6170,diva_id__5702,-160.342910767,59.075416564899996,0.48,-160.342910767,59.075416564899996
68,3416,79,0.0,66.375,-160.125,46.0,94,11423491072.0,-161.1914,66.32813,45980.834896842505,4716,diva_id__4248,-160.215423584,66.4629135132,0.207,-160.215423584,66.4629135132
69,3417,80,0.0,66.375,-159.875,46.0,94,11423491072.0,-161.1914,66.32813,45637.47370924716,4716,diva_id__4248,-160.20291137700002,66.4354171753,0.207,-160.20291137700002,66.4354171753
