id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea,rivhgt,elevtn
701,222,1932.092245,72.932083,72.875000,-124.461250,-124.375000,16.049633,68,3454.400146,2.000000,0.000000
727,319,5797.148777,72.892914,72.875000,-100.015411,-100.125000,10.000000,68,1464.607178,2.000000,0.000000
729,326,1932.528439,72.872917,72.875000,-98.399582,-98.375000,10.164382,68,2627.447998,2.000000,0.000000
734,342,0.000000,72.771248,72.875000,-94.287079,-94.375000,10.000000,68,1998.538208,2.000000,0.000000
736,346,0.000000,72.823753,72.875000,-93.322083,-93.375000,12.359664,68,3637.786377,2.000000,0.000000
752,397,0.000000,72.953751,72.875000,-80.622917,-80.625000,16.345942,68,3227.319580,2.000000,0.000000
783,1003,3865.056877,72.879585,72.875000,70.947083,70.875000,21.383219,68,3130.467529,2.000000,0.000000
785,1007,1933.257696,72.797913,72.875000,71.927917,71.875000,12.087450,68,1430.061523,2.000000,0.000000
797,1141,1933.550195,72.762917,72.875000,105.271255,105.375000,592.046997,68,303137.593750,6.869936,0.000000
799,1143,7969.821560,72.832085,72.875000,105.967918,105.875000,21.213661,68,3729.124512,2.000000,0.000000
800,1144,0.000000,72.954582,72.875000,106.162079,106.125000,123.691368,68,47648.976562,2.980417,0.000000
801,1198,0.000000,72.998749,72.875000,119.737915,119.625000,437.402802,68,219394.968750,5.845651,0.000000
812,219,0.000000,72.507919,72.625000,-125.210419,-125.125000,26.578009,69,7187.730469,2.000000,0.000000
820,261,2736.948199,72.561249,72.625000,-114.572083,-114.625000,32.560230,69,8146.705078,2.000000,0.000000
823,264,0.000000,72.652916,72.625000,-113.999580,-113.875000,16.587280,69,3342.042480,2.000000,0.000000
825,266,2735.074581,72.706253,72.625000,-113.387917,-113.375000,10.000000,69,1059.677612,2.000000,0.000000
844,318,1933.843140,72.729584,72.625000,-100.457085,-100.375000,10.000000,69,2256.389404,2.000000,0.000000
858,373,0.000000,72.717087,72.625000,-86.715416,-86.625000,10.277856,69,2499.260742,2.000000,0.000000
865,407,1934.430388,72.664581,72.625000,-78.052917,-78.125000,10.000000,69,1352.553589,2.000000,0.000000
895,1235,0.000000,72.513748,72.625000,128.828751,128.875000,15.972737,69,2401.838379,2.000000,0.000000
899,1283,7743.033053,72.507919,72.625000,140.974579,140.875000,10.000000,69,1086.718506,2.000000,0.000000
922,273,1937.841822,72.280418,72.375000,-111.637917,-111.625000,10.000000,70,2361.960205,2.000000,0.000000
926,278,1936.499886,72.431252,72.375000,-110.297081,-110.375000,10.000000,70,1041.608032,2.000000,0.000000
927,280,0.000000,72.443748,72.375000,-109.817917,-109.875000,10.000000,70,1034.191528,2.000000,0.000000
929,285,0.000000,72.306252,72.375000,-108.611252,-108.625000,10.000000,70,2062.625488,2.000000,0.000000
946,360,0.000000,72.418747,72.375000,-89.847084,-89.875000,19.890457,70,5539.685547,2.000000,0.000000
950,380,1936.202905,72.459579,72.375000,-84.762917,-84.875000,10.670093,70,2084.070801,2.000000,0.000000
990,1048,0.000000,72.267082,72.375000,82.187088,82.125000,13.385863,70,1451.289551,2.000000,0.000000
997,1305,0.000000,72.440414,72.375000,146.392914,146.375000,16.007139,70,6862.069336,2.000000,0.000000
1000,1308,0.000000,72.292915,72.375000,147.025421,147.125000,67.458092,70,28961.544922,2.156987,0.000000
1005,1315,0.000000,72.258751,72.375000,148.936249,148.875000,10.000000,70,1902.335327,2.000000,0.000000
1006,217,3879.290014,72.078751,72.125000,-125.697914,-125.625000,10.000000,71,2721.085449,2.000000,0.000000
1015,289,2742.645697,72.101250,72.125000,-107.598747,-107.625000,10.000000,71,1633.241211,2.000000,0.000000
1019,317,1938.441116,72.211250,72.125000,-100.687080,-100.625000,10.000000,71,1230.978516,2.000000,0.000000
1040,395,0.000000,72.095413,72.125000,-81.017082,-81.125000,25.169062,71,5145.538574,2.000000,0.000000
1061,929,4337.178088,72.067085,72.125000,52.435417,52.375000,10.000000,71,1036.401245,2.000000,0.000000
1064,994,0.000000,72.122086,72.125000,68.654587,68.625000,10.000000,71,1263.343628,2.000000,0.000000
1079,1234,0.000000,72.062920,72.125000,128.743744,128.625000,2216.491211,71,2466534.250000,13.890502,0.000000
1084,1318,0.000000,72.156250,72.125000,149.542084,149.625000,10.000000,71,1463.572144,2.000000,0.000000
1086,220,5822.112518,71.957916,71.875000,-124.885414,-124.875000,10.000000,72,1107.159058,2.000000,0.000000
1095,300,3882.623627,71.894585,71.875000,-104.862083,-104.875000,10.000000,72,1297.018555,2.000000,0.000000
1100,327,1941.159739,71.904587,71.875000,-98.237915,-98.125000,10.000000,72,1707.398682,2.000000,0.000000
1106,359,0.000000,71.952080,71.875000,-90.062080,-90.125000,10.000000,72,1670.794556,2.000000,0.000000
1113,383,0.000000,71.971252,71.875000,-84.166245,-84.125000,10.000000,72,1189.048706,2.000000,0.000000
1114,396,1941.463999,71.880417,71.875000,-80.922081,-80.875000,10.000000,72,1220.035278,2.000000,0.000000
1116,403,0.000000,71.993752,71.875000,-79.183746,-79.125000,10.696768,72,1440.161255,2.000000,0.000000
1135,940,9898.011390,71.905418,71.875000,55.147919,55.125000,10.000000,72,1130.220215,2.000000,0.000000
1150,1032,2746.075615,71.842918,71.875000,78.026253,78.125000,14.675972,72,1716.007812,2.000000,0.000000
1155,1044,1941.768689,71.837082,71.875000,81.244583,81.125000,13.300142,72,1515.981201,2.000000,0.000000
1165,1279,1941.616288,71.852081,71.875000,139.822922,139.875000,13.045486,72,3609.593994,2.000000,0.000000
1166,1316,0.000000,71.759583,71.875000,149.097916,149.125000,10.000000,72,1858.500610,2.000000,0.000000
1175,224,0.000000,71.550415,71.625000,-123.807915,-123.875000,10.000000,73,1318.509155,2.000000,0.000000
1185,258,3889.060828,71.549583,71.625000,-115.432915,-115.375000,10.000000,73,1403.243164,2.000000,0.000000
1186,286,1943.759763,71.627914,71.625000,-107.990417,-108.375000,17.758446,73,4708.375977,2.000000,0.000000
1188,288,0.000000,71.610420,71.625000,-107.787079,-107.875000,35.445717,73,14017.797852,2.000000,0.000000
1208,346,0.000000,71.537086,71.625000,-93.367912,-93.375000,10.309100,73,2622.488281,2.000000,0.000000
1215,381,5830.817863,71.638748,71.625000,-84.551247,-84.625000,24.021696,73,5012.670898,2.000000,0.000000
1218,418,1944.839428,71.509583,71.625000,-75.377914,-75.375000,10.000000,73,1824.582275,2.000000,0.000000
1234,930,9714.192681,71.717918,71.625000,52.540417,52.625000,10.062009,73,1172.213257,2.000000,0.000000
1238,942,1944.376068,71.558746,71.625000,55.703751,55.625000,14.920382,73,2149.087891,2.000000,0.000000
1239,992,4346.723124,71.606247,71.625000,68.193748,68.125000,15.279490,73,2254.732666,2.000000,0.000000
1240,993,0.000000,71.689583,71.625000,68.332085,68.375000,10.135188,73,1319.601196,2.000000,0.000000
1241,1008,0.000000,71.563751,71.625000,72.058746,72.125000,29.111662,73,5007.929688,2.000000,0.000000
1244,1021,0.000000,71.617081,71.625000,75.447083,75.375000,10.000000,73,1230.169312,2.000000,0.000000
1247,1045,3885.983599,71.709579,71.625000,81.487083,81.375000,11.541776,73,1228.667725,2.000000,0.000000
1252,1053,0.000000,71.742081,71.625000,83.401253,83.375000,16.711233,73,1934.243652,2.000000,0.000000
1265,1266,0.000000,71.518753,71.625000,136.632080,136.625000,243.695358,73,231172.843750,4.279056,0.000000
1273,1316,0.000000,71.687920,71.625000,149.061249,149.125000,22.727907,73,6562.906250,2.000000,0.000000
1298,252,3894.341286,71.266251,71.375000,-116.787918,-116.875000,49.290119,74,15913.996094,2.000000,0.000000
