stations,station_id,station_x_coordinate,station_y_coordinate
12291,b'diva_id__11823',158.291,6.927084
12292,b'diva_id__11824',158.291,6.927084
12293,b'diva_id__11825',158.291,6.927084
12294,b'diva_id__11826',158.291,6.927084
12298,b'diva_id__11830',158.291,6.927084
12559,b'diva_id__12091',174.5215,-37.03125
12624,b'diva_idp_med_8',18.22266,42.63021
12631,b'diva_idp_med_15',17.87109,42.73438
12687,b'diva_idp_med_71',14.0332,44.94792
12688,b'diva_idp_med_72',14.0332,44.94792
12699,b'diva_idp_med_83',18.22266,42.63021
12717,b'diva_idp_med_101',13.62305,45.26042
12741,b'diva_idp_med_125',-4.980469,36.48438
12776,b'diva_idp_med_160',-1.552734,37.44792
12791,b'diva_idp_med_175',-1.552734,37.44792
12851,b'diva_idp_med_235',0.791016,40.88542
12854,b'diva_idp_med_238',0.5566409,40.54688
12857,b'diva_idp_med_241',0.4101565,40.44271
12899,b'diva_idp_med_283',-1.552734,37.44792
12986,b'diva_idp_med_370',14.94141,40.28646
12987,b'diva_idp_med_371',14.94141,40.28646
12988,b'diva_idp_med_372',14.94141,40.28646
12989,b'diva_idp_med_373',14.94141,40.23438
13033,b'diva_idp_med_417',14.44336,40.67708
13034,b'diva_idp_med_418',14.44336,40.67708
13161,b'diva_idp_med_545',10.72266,42.94271
13173,b'diva_idp_med_557',7.675782,43.85417
13175,b'diva_idp_med_559',7.675782,43.85417
13176,b'diva_idp_med_560',7.675782,43.85417
13177,b'diva_idp_med_561',7.675782,43.85417
13194,b'diva_idp_med_578',12.86133,43.93229
13199,b'diva_idp_med_583',13.18359,43.72396
13460,b'diva_idp_med_844',15.08789,41.92708
13574,b'diva_idp_med_958',15.08789,37.44792
13594,b'diva_idp_med_978',13.65234,37.99479
13595,b'diva_idp_med_979',13.65234,37.99479
13620,b'diva_idp_med_1004',13.65234,37.99479
13671,b'diva_idp_med_1055',13.41797,37.31771
13751,b'diva_idp_med_1135',6.972657,43.56771
14310,b'diva_idp_med_1694',8.789062,42.13542
14311,b'diva_idp_med_1695',8.789062,42.13542
14313,b'diva_idp_med_1697',8.789062,42.13542
14314,b'diva_idp_med_1698',8.789062,42.13542
14330,b'diva_idp_med_1714',8.818359,42.55208
14385,b'diva_idp_med_1769',-5.068359,35.36458
14401,b'diva_idp_med_1785',-0.2929685,35.80729
14470,b'diva_idp_med_1854',6.386719,37.05729
14511,b'diva_idp_med_1895',7.324219,37.05729
14615,b'diva_idp_med_1999',26.16211,39.86979
14619,b'diva_idp_med_2003',28.68164,41.30208
14661,b'diva_idp_med_2045',28.06641,36.69271
14682,b'diva_idp_med_2066',34.6582,36.82292
14722,b'diva_idp_med_2106',20.88867,38.93229
14729,b'diva_idp_med_2113',8.818359,36.92708
14749,b'diva_idp_med_2133',19.51172,40.44271
14754,b'diva_idp_med_2138',19.51172,40.44271
14821,b'diva_idp_med_2205',21.73828,38.35938
14856,b'diva_idp_med_2240',23.37891,37.42188
14886,b'diva_idp_med_2270',8.935547,37.05729
14907,b'diva_idp_med_2291',10.04883,33.93229
15087,b'diva_idp_med_2471',28.06641,36.69271
15088,b'diva_idp_med_2472',28.06641,36.69271
15089,b'diva_idp_med_2473',28.06641,36.69271
15095,b'diva_idp_med_2479',28.06641,36.69271
15112,b'diva_idp_med_2496',28.1543,36.92708
15113,b'diva_idp_med_2497',28.1543,36.92708
15114,b'diva_idp_med_2498',28.1543,36.92708
15218,b'diva_idp_med_2602',28.68164,41.30208
15407,b'diva_idp_med_2791',21.50391,38.35938
15486,b'diva_idp_med_2870',8.613281,38.98438
15487,b'diva_idp_med_2871',8.613281,38.98438
15488,b'diva_idp_med_2872',8.613281,38.98438
15489,b'diva_idp_med_2873',8.613281,38.98438
15539,b'diva_idp_med_2923',9.550781,39.29688
15658,b'diva_idp_med_3042',9.082031,41.11979
15703,b'diva_idp_med_3087',8.613281,38.98438
16229,b'diva_idp_med_3613',27.91992,36.30208
16542,b'deltas_352',143.0566,-8.307291
16591,b'deltas_425',16.43555,-28.61979
16595,b'deltas_438',18.19336,-31.71875
